011101111001 F' L' U' B' 
100100010001 U' L' U' B' 
011000010100 D' L' U' B' 
011000010010 D L' U' B' 
001101110001 F L2 U' B' 
101011000000 B2 L2 U' B' 
001101111101 F' L U' B' 
001000011010 D2 L U' B' 
001111111100 F' D' U' B' 
000010010110 R' D' U' B' 
011010010000 L' D' U' B' 
001110111000 F' D2 U' B' 
001111011000 F D2 U' B' 
001111111010 F' D U' B' 
000010110010 R' D U' B' 
001010110000 R D U' B' 
001000010110 L D U' B' 
010000011001 L' F2 U2 B' 
100100010100 L B2 U2 B' 
010101011001 F' L' U2 B' 
000101011101 F' L U2 B' 
000111011100 F' D' U2 B' 
000110111100 F D' U2 B' 
000111011010 F' D U2 B' 
000110111010 F D U2 B' 
010111101000 B' F' U B' 
110111111000 B2 F' U B' 
010101111000 B F' U B' 
010101111101 L' F' U B' 
000111111101 L2 F' U B' 
010110111101 L F' U B' 
010111110110 D' F' U B' 
100110000001 U' R U B' 
011010000100 D' R U B' 
011010000010 D R U B' 
010101110001 F L' U B' 
110011000000 B2 L' U B' 
000001111101 F' L2 U B' 
000101110101 F L2 U B' 
000011000101 B' L2 U B' 
010111111100 F' D' U B' 
010010000110 R' D' U B' 
010011010000 L' D' U B' 
000011010100 L D' U B' 
010110111000 F' D2 U B' 
010111011000 F D2 U B' 
010111111010 F' D U B' 
111101001011 R' F' L' B' 
111001111001 U' F' L' B' 
010101101001 B' F' L' B' 
110101101000 B F' L' B' 
001101011001 F' U2 L' B' 
001100111001 F U2 L' B' 
001100010010 D U2 L' B' 
110101111100 F' D' L' B' 
110000000110 R' D' L' B' 
100011010000 L' D' L' B' 
110101011000 F D2 L' B' 
110101111010 F' D L' B' 
111000100000 R2 D L' B' 
100001111100 F' D' L2 B' 
100001111010 F' D L2 B' 
101101001111 R' F' L B' 
000101101101 B' F' L B' 
100101101100 B F' L B' 
100101111110 D' F' L B' 
100101110111 D F' L B' 
011000000101 R U L B' 
000011010001 L' U L B' 
100101011100 F D' L B' 
100100111010 F' D2 L B' 
100101011010 F D2 L B' 
011011111100 U' F' D' B' 
000101111100 B' F' D' B' 
000111101100 B F' D' B' 
110110111100 L' F' D' B' 
001010000110 U' R' D' B' 
100010001001 D' R' D' B' 
110001111000 F' L2 D' B' 
110101110000 F L2 D' B' 
101111011010 R F' D B' 
011011111010 U' F' D B' 
000101111010 B' F' D B' 
000111101010 B F' D B' 
101111100000 F' R2 D B' 
101011101000 F R2 D B' 
010000010110 U L D B' 
100000011001 D' L D B' 
100110011001 B' U' F' R' F' 
100100000000 F2 U F' R' F' 
000000001001 B2 U F' R' F' 
100010101011 R2 B' F' R' F' 
111000011001 L' B' F' R' F' 
101000011101 L B' F' R' F' 
101010010110 D' B' F' R' F' 
001101101010 F' D' F' R' F' 
000000110000 R' D' F' R' F' 
101010010011 B' D' F' R' F' 
001101101100 F' D F' R' F' 
101010010101 B' D F' R' F' 
101110011011 R' B' F2 R' F' 
111100111001 L' B' F2 R' F' 
101110110110 D' B' F2 R' F' 
101110110011 B' D' F2 R' F' 
101110100001 B' D2 F2 R' F' 
101100110001 B D2 F2 R' F' 
101110110101 B' D F2 R' F' 
011110010001 U' B' F R' F' 
111010010001 U B' F R' F' 
111100010001 L' B' F R' F' 
101100010101 L B' F R' F' 
101110010100 D' B' F R' F' 
101110010010 D B' F R' F' 
111111001001 R B' U' R' F' 
110110011101 L B' U' R' F' 
110111010110 D' B' U' R' F' 
110111010011 B' D' U' R' F' 
110111000001 B' D2 U' R' F' 
110101010001 B D2 U' R' F' 
110111010101 B' D U' R' F' 
111100000000 R' F2 U2 R' F' 
110100000010 R F2 U2 R' F' 
110001001011 R' B' U2 R' F' 
111001001001 R B' U2 R' F' 
100001011101 L' B' U2 R' F' 
110001010110 D' B' U2 R' F' 
100001001001 U' B2 U2 R' F' 
110001001101 L' B U2 R' F' 
100011001101 L2 B U2 R' F' 
110010001101 L B U2 R' F' 
110011000110 D' B U2 R' F' 
110110101000 F' L U2 R' F' 
110111001000 F L U2 R' F' 
110001101010 F' D' U2 R' F' 
110101100010 F D' U2 R' F' 
110001010011 B' D' U2 R' F' 
110011000011 B D' U2 R' F' 
110001101100 F' D U2 R' F' 
110101100100 F D U2 R' F' 
110001010101 B' D U2 R' F' 
110011000101 B D U2 R' F' 
101100000100 L' F U R' F' 
101001010110 D' B' U R' F' 
001000001101 L' B2 U R' F' 
011000001001 L B2 U R' F' 
111000001101 L' B U R' F' 
101011000110 D' B U R' F' 
101100101100 F' L' U R' F' 
101101001100 F L' U R' F' 
101010001101 B L' U R' F' 
111100101000 F' L U R' F' 
111101001000 F L U R' F' 
111010001001 B L U R' F' 
101001101010 F' D' U R' F' 
101101100010 F D' U R' F' 
100001110000 R' D' U R' F' 
101001010011 B' D' U R' F' 
101011000011 B D' U R' F' 
101001101100 F' D U R' F' 
101101100100 F D U R' F' 
101001010101 B' D U R' F' 
101011000101 B D U R' F' 
011010011001 F' U' B' R' F' 
010111011011 R' U' B' R' F' 
011111001000 B' U' B' R' F' 
111111011000 B2 U' B' R' F' 
011101011000 B U' B' R' F' 
011101011101 L' U' B' R' F' 
001111011101 L2 U' B' R' F' 
011110011101 L U' B' R' F' 
011111010110 D' U' B' R' F' 
111110110001 F2 U B' R' F' 
111111010001 F U B' R' F' 
110011101011 R2 U B' R' F' 
111001011101 L' U B' R' F' 
101011011101 L2 U B' R' F' 
111010011101 L U B' R' F' 
111011010110 D' U B' R' F' 
011100001101 B' L' B' R' F' 
111110001101 B2 L' B' R' F' 
111100001100 B L' B' R' F' 
111100011110 D' L' B' R' F' 
111100011011 D2 L' B' R' F' 
111100010111 D L' B' R' F' 
101011011110 F' D' B' R' F' 
101010111110 F2 D' B' R' F' 
001101010110 B' D' B' R' F' 
001111010111 B2 D' B' R' F' 
001111000110 B D' B' R' F' 
111110010110 L' D' B' R' F' 
111111010010 L2 D' B' R' F' 
111101010110 L D' B' R' F' 
110100000100 F2 U2 L' R' F' 
110101001100 F U2 L' R' F' 
010000001101 B2 U2 L' R' F' 
100110101111 R2 B' L' R' F' 
101110101101 R B' L' R' F' 
111101011001 L2 B' L' R' F' 
101101011101 L B' L' R' F' 
101110011110 D' B' L' R' F' 
101110010111 D B' L' R' F' 
001000001011 F2 D2 L' R' F' 
